Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2023","2023","t","2061430","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01445","Sunflower seed","2024","2024","ha","753680","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","1963.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01445","Sunflower seed","2024","2024","t","1479770","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2014","2014","ha","5297210","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2014","2014","kg/ha","7353","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2014","2014","t","38950202","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2015","2015","ha","5480208","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2015","2015","kg/ha","7800.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2015","2015","t","42750027.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2016","2016","ha","5542247","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2016","2016","kg/ha","5289.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2016","2016","t","29316331","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2017","2017","ha","5332084","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2017","2017","kg/ha","7253.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2017","2017","t","38677896","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2018","2018","ha","5234090","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2018","2018","kg/ha","6768","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2018","2018","t","35424140","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2019","2019","ha","5244250","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2019","2019","kg/ha","7742.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2019","2019","t","40604960","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2020","2020","ha","4519780","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2020","2020","kg/ha","6677.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2020","2020","t","30181140","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2021","2021","ha","5276730","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2021","2021","kg/ha","6928.4","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2021","2021","t","36559450","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2022","2022","ha","4949840","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2022","2022","kg/ha","6996.7","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2022","2022","t","34632380","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2023","2023","ha","4998280","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2023","2023","kg/ha","7201.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2023","2023","t","35995570","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0111","Wheat","2024","2024","ha","4454180","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","0111","Wheat","2024","2024","kg/ha","5973.5","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2024","2024","t","26606940","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2014","2014","ha","1573700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2014","2014","kg/ha","7347.5","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2014","2014","t","11562800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2015","2015","ha","1621800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2015","2015","kg/ha","7171","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2015","2015","t","11629900","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2016","2016","ha","1605000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2016","2016","kg/ha","6685.7","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2016","2016","t","10730500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2017","2017","ha","1566100","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2017","2017","kg/ha","6930.2","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2017","2017","t","10853400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2018","2018","ha","1662000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2018","2018","kg/ha","5766.3","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2018","2018","t","9583600","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2019","2019","ha","1708800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2019","2019","kg/ha","6783.4","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2019","2019","t","11591500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2020","2020","ha","1667300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2020","2020","kg/ha","6459.1","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2020","2020","t","10769200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2021","2021","ha","1539500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2021","2021","kg/ha","6762.7","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2021","2021","t","10411100","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2022","2022","ha","1582600","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2022","2022","kg/ha","7081.4","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2022","2022","t","11207100","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2023","2023","ha","1612200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2023","2023","kg/ha","6822.9","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2023","2023","t","10999900","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0115","Barley","2024","2024","ha","1660000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0115","Barley","2024","2024","kg/ha","6391.6","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0115","Barley","2024","2024","t","10610000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2014","2014","ha","481300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","10683.8","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2014","2014","t","5142100","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","455500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","8722.3","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2015","2015","t","3973000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","416300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","9651.2","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2016","2016","t","4017800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","432000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","10526.9","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2017","2017","t","4547600","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","410900","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","8139","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2018","2018","t","3344300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","416000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","8809.6","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2019","2019","t","3664800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","419300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","9587.4","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2020","2020","t","4020000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","430700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","10360.8","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2021","2021","t","4462400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","456700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","8402.5","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2022","2022","t","3837400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","466400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","9646","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2023","2023","t","4498900","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","498400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0112","Maize (corn)","2024","2024","kg/ha","10053.2","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0112","Maize (corn)","2024","2024","t","5010500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2014","2014","ha","20000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2014","2014","kg/ha","2300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2014","2014","t","46000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2015","2015","ha","18400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2015","2015","kg/ha","1918.5","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2015","2015","t","35300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2016","2016","ha","16700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2016","2016","kg/ha","2137.7","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2016","2016","t","35700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2017","2017","ha","18000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2017","2017","kg/ha","2200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2017","2017","t","39600","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2018","2018","ha","19500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2018","2018","kg/ha","1820.5","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2018","2018","t","35500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2019","2019","ha","22500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2019","2019","kg/ha","2044.4","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2019","2019","t","46000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2020","2020","ha","28200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2020","2020","kg/ha","2056.7","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2020","2020","t","58000","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2021","2021","ha","38300","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2021","2021","kg/ha","2603.1","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2021","2021","t","99700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2022","2022","ha","85600","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","1883.2","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2022","2022","t","161200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2023","2023","ha","68900","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2023","2023","kg/ha","2468.8","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2023","2023","t","170100","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01445","Sunflower seed","2024","2024","ha","51400","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","01445","Sunflower seed","2024","2024","kg/ha","2610.9","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","01445","Sunflower seed","2024","2024","t","134200","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0111","Wheat","2014","2014","ha","3219700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0111","Wheat","2014","2014","kg/ha","8629.6","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0111","Wheat","2014","2014","t","27784700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0111","Wheat","2015","2015","ha","3282700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0111","Wheat","2015","2015","kg/ha","8087.7","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0111","Wheat","2015","2015","t","26549500","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0111","Wheat","2016","2016","ha","3201700","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5412","Yield","0111","Wheat","2016","2016","kg/ha","7640.9","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0111","Wheat","2016","2016","t","24463800","A","Official value",""
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","0111","Wheat","2017","2017","ha","3202600","A","Official value",""
