Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","259.5","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2022","2022","7021","Annual value","USD","356.6","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2023","2023","7021","Annual value","USD","259.9","A","Official value"
"PP","Producer Prices","250","France","5532","Producer Price (USD/tonne)","0111","Wheat","2024","2024","7021","Annual value","USD","231.3","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","201.7","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","160.8","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","139.4","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","153.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","195.4","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","175.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","171.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","234.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","301","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","205.1","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","174.8","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","220.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","USD","174.1","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","USD","168.1","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","USD","177.4","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","USD","194.9","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","184.9","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","USD","190.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","263.3","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","326.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","USD","238.5","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","203.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2014","2014","7021","Annual value","USD","411.3","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2015","2015","7021","Annual value","USD","353.8","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2017","2017","7021","Annual value","USD","334.4","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2018","2018","7021","Annual value","USD","371.5","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","377.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","363.5","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","581.7","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","496.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","359.5","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2024","2024","7021","Annual value","USD","342.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2014","2014","7021","Annual value","USD","224.2","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2015","2015","7021","Annual value","USD","179.7","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2016","2016","7021","Annual value","USD","154.9","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2017","2017","7021","Annual value","USD","170.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2018","2018","7021","Annual value","USD","198.9","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","186.9","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2020","2020","7021","Annual value","USD","196.6","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","259.7","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2022","2022","7021","Annual value","USD","338","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2023","2023","7021","Annual value","USD","238.5","A","Official value"
"PP","Producer Prices","276","Germany","5532","Producer Price (USD/tonne)","0111","Wheat","2024","2024","7021","Annual value","USD","205.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","268.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","214.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","197.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","190","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","208","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","207.6","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","209.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","240.4","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","290.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","249.2","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","184.8","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","226.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","USD","189.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","USD","182.3","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","USD","167.8","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","USD","180.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","169.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","USD","190.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","242.8","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","294.3","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","USD","249.2","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","187","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2014","2014","7021","Annual value","USD","376.2","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2015","2015","7021","Annual value","USD","374.5","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2016","2016","7021","Annual value","USD","372","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2017","2017","7021","Annual value","USD","338.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2018","2018","7021","Annual value","USD","334.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","304.4","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","353.4","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","478.3","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","614.3","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","432.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2024","2024","7021","Annual value","USD","430.6","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2014","2014","7021","Annual value","USD","226.9","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2015","2015","7021","Annual value","USD","184.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2016","2016","7021","Annual value","USD","155.2","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2017","2017","7021","Annual value","USD","160.4","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2018","2018","7021","Annual value","USD","172.5","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","172.3","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2020","2020","7021","Annual value","USD","186.1","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","230.7","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2022","2022","7021","Annual value","USD","317.8","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2023","2023","7021","Annual value","USD","240.5","A","Official value"
"PP","Producer Prices","642","Romania","5532","Producer Price (USD/tonne)","0111","Wheat","2024","2024","7021","Annual value","USD","195.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","143.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","121.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","117.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","136.6","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","177","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","152.2","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","161.5","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","214.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","174.2","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","142.2","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","146.8","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","USD","136.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","USD","138.2","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","USD","137.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","USD","147.5","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","142.6","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","USD","173.2","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","228.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","202.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","USD","160.5","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2014","2014","7021","Annual value","USD","323.3","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2015","2015","7021","Annual value","USD","346.6","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2016","2016","7021","Annual value","USD","333.3","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2017","2017","7021","Annual value","USD","331.4","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2018","2018","7021","Annual value","USD","329","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2019","2019","7021","Annual value","USD","310.3","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2020","2020","7021","Annual value","USD","402.9","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","610.4","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2022","2022","7021","Annual value","USD","453.6","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2023","2023","7021","Annual value","USD","341.8","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2014","2014","7021","Annual value","USD","157.4","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2015","2015","7021","Annual value","USD","128","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2016","2016","7021","Annual value","USD","128.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2017","2017","7021","Annual value","USD","143.4","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2018","2018","7021","Annual value","USD","168.6","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2019","2019","7021","Annual value","USD","157.7","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2020","2020","7021","Annual value","USD","186.1","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","235.8","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2022","2022","7021","Annual value","USD","188.5","A","Official value"
"PP","Producer Prices","804","Ukraine","5532","Producer Price (USD/tonne)","0111","Wheat","2023","2023","7021","Annual value","USD","146.1","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2014","2014","7021","Annual value","USD","243","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2015","2015","7021","Annual value","USD","254","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2016","2016","7021","Annual value","USD","228","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2017","2017","7021","Annual value","USD","205","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2018","2018","7021","Annual value","USD","212","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2019","2019","7021","Annual value","USD","211","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2020","2020","7021","Annual value","USD","216","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","236.5","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2022","2022","7021","Annual value","USD","335.3","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2023","2023","7021","Annual value","USD","339.4","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0115","Barley","2024","2024","7021","Annual value","USD","303.1","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2014","2014","7021","Annual value","USD","146","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2015","2015","7021","Annual value","USD","142","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2016","2016","7021","Annual value","USD","132","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2017","2017","7021","Annual value","USD","132","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2018","2018","7021","Annual value","USD","142","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2019","2019","7021","Annual value","USD","151","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2020","2020","7021","Annual value","USD","169","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","214.6","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2022","2022","7021","Annual value","USD","263.8","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2023","2023","7021","Annual value","USD","179.1","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2024","2024","7021","Annual value","USD","171.3","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2014","2014","7021","Annual value","USD","478","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2015","2015","7021","Annual value","USD","432","A","Official value"
"PP","Producer Prices","840","United States of America","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2016","2016","7021","Annual value","USD","384","A","Official value"
